App ID,App names,Country,Date,Ad Exchange impressions,Ad Exchange clicks,Ad Exchange CTR,Ad Exchange revenue ($),Ad Exchange average eCPM ($),Ad Exchange ad requests,Ad Exchange match rate,Ad Exchange CPC ($),Ad Exchange delivery rate
com.calendar.schedule.taskapp,Calender,Afghanistan,3/14/25,6,0,0.00%,0.00,0.30,11,90.91%,0.00,54.55%
com.calendar.schedule.taskapp,Calender,Afghanistan,3/22/25,1,0,0.00%,0.00,0.42,2,100.00%,0.00,50.00%
com.calendar.schedule.taskapp,Calender,Albania,3/14/25,15,5,33.33%,0.03,2.00,20,100.00%,0.01,75.00%
com.calendar.schedule.taskapp,Calender,Albania,3/15/25,4,1,25.00%,0.01,3.02,6,100.00%,0.01,66.67%
com.calendar.schedule.taskapp,Calender,Albania,3/16/25,12,2,16.67%,0.05,4.11,17,100.00%,0.02,70.59%
com.calendar.schedule.taskapp,Calender,Albania,3/18/25,18,2,11.11%,0.12,6.86,34,100.00%,0.06,52.94%
com.calendar.schedule.taskapp,Calender,Albania,3/19/25,4,1,25.00%,0.17,42.80,8,100.00%,0.17,50.00%
com.calendar.schedule.taskapp,Calender,Albania,3/20/25,4,2,50.00%,0.06,13.85,6,100.00%,0.03,66.67%
com.calendar.schedule.taskapp,Calender,Albania,3/21/25,49,10,20.41%,0.77,15.73,93,100.00%,0.08,52.69%
com.calendar.schedule.taskapp,Calender,Albania,3/22/25,1,0,0.00%,0.04,43.72,6,100.00%,0.00,16.67%
com.calendar.schedule.taskapp,Calender,Albania,3/23/25,15,1,6.67%,0.23,15.47,22,100.00%,0.23,68.18%
com.calendar.schedule.taskapp,Calender,Algeria,3/13/25,6,0,0.00%,0.01,2.18,8,100.00%,0.00,75.00%
com.calendar.schedule.taskapp,Calender,Algeria,3/14/25,0,0,0.00%,0.00,0.00,1,100.00%,0.00,0.00%
com.calendar.schedule.taskapp,Calender,Algeria,3/15/25,3,2,66.67%,0.00,0.71,6,83.33%,0.00,50.00%
com.calendar.schedule.taskapp,Calender,Algeria,3/16/25,4,4,100.00%,0.01,1.57,6,83.33%,0.00,66.67%
com.calendar.schedule.taskapp,Calender,Algeria,3/17/25,4,0,0.00%,0.01,1.88,6,83.33%,0.00,66.67%
com.calendar.schedule.taskapp,Calender,Algeria,3/20/25,13,1,7.69%,0.01,0.44,22,95.45%,0.01,59.09%
com.calendar.schedule.taskapp,Calender,Algeria,3/23/25,2,1,50.00%,0.00,1.87,9,88.89%,0.00,22.22%
com.calendar.schedule.taskapp,Calender,Angola,3/18/25,0,0,0.00%,0.00,0.00,4,100.00%,0.00,0.00%
com.calendar.schedule.taskapp,Calender,Argentina,3/14/25,9,2,22.22%,0.05,5.70,15,100.00%,0.03,60.00%
com.calendar.schedule.taskapp,Calender,Argentina,3/15/25,29,3,10.34%,0.39,13.29,43,100.00%,0.13,67.44%
com.calendar.schedule.taskapp,Calender,Argentina,3/16/25,38,6,15.79%,0.26,6.96,72,98.61%,0.04,52.78%
com.calendar.schedule.taskapp,Calender,Argentina,3/17/25,199,37,18.59%,1.90,9.55,317,99.37%,0.05,62.78%
com.calendar.schedule.taskapp,Calender,Argentina,3/18/25,140,25,17.86%,1.24,8.86,268,98.51%,0.05,52.24%
com.calendar.schedule.taskapp,Calender,Argentina,3/19/25,254,70,27.56%,2.72,10.70,451,99.56%,0.04,56.32%
com.calendar.schedule.taskapp,Calender,Argentina,3/20/25,106,14,13.21%,0.76,7.15,233,100.00%,0.05,45.49%
com.calendar.schedule.taskapp,Calender,Argentina,3/21/25,79,18,22.78%,0.38,4.87,199,99.50%,0.02,39.70%
